CustomerID,churn_probability,urgency,channel,strategies,num_strategies,source
55221,0.9937095480298281,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Activate new customer nurture campaign,5,Rule Engine
53751,0.9937095480298281,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Activate new customer nurture campaign,5,Rule Engine
52838,0.991708666826232,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Send feedback request with small reward,5,Rule Engine
51189,0.9881955632557118,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Activate new customer nurture campaign,5,Rule Engine
52817,0.9877203394473231,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Send feedback request with small reward,5,Rule Engine
54163,0.9877203394473231,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Send feedback request with small reward,5,Rule Engine
50607,0.9875534326297554,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Activate new customer nurture campaign,5,Rule Engine
54288,0.9871101439632264,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Send feedback request with small reward,5,Rule Engine
52057,0.9868755317725948,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Activate new customer nurture campaign,5,Rule Engine
50587,0.9868755317725948,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Activate new customer nurture campaign,5,Rule Engine
54872,0.9868150220415306,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Activate new customer nurture campaign,5,Rule Engine
53402,0.9868150220415306,Critical,Phone + Email,Immediate personal outreach by account manager | Offer exclusive loyalty discount (15-20% off next 3 orders) | Escalate to customer success team for complaint resolution | Send apology with compensation (free shipping on next order) | Activate new customer nurture campaign,5,Rule Engine
